r,E_A,E_B,certified_lower_envelope,active_branch
1.00,0.070997150997151,0.101666666666667,0.070997150997151,E_A
1.10,0.076174358974359,0.101666666666667,0.076174358974359,E_A
1.20,0.082771509971510,0.101666666666667,0.082771509971510,E_A
1.30,0.090788603988604,0.101666666666667,0.090788603988604,E_A
1.40,0.100225641025641,0.101666666666667,0.100225641025641,E_A
1.50,0.111082621082621,0.101666666666667,0.101666666666667,E_B
1.60,0.123359544159544,0.101666666666667,0.101666666666667,E_B
1.70,0.137056410256410,0.101666666666667,0.101666666666667,E_B
1.80,0.152173219373219,0.101666666666667,0.101666666666667,E_B
1.90,0.168709971509972,0.101666666666667,0.101666666666667,E_B
2.00,0.186666666666667,0.101666666666667,0.101666666666667,E_B
2.50,0.297749287749288,0.101666666666667,0.101666666666667,E_B
3.00,0.444330484330484,0.101666666666667,0.101666666666667,E_B
4.00,0.843988603988604,0.101666666666667,0.101666666666667,E_B
